threads, isDense, time, iteration, correct
1, DENSE, 1.89046, 1044, Accepted
1, DENSE, 1.87078, 1054, Accepted
1, DENSE, 1.95486, 1127, Accepted
1, DENSE, 1.82316, 1059, Accepted
1, DENSE, 1.73083, 1008, Accepted
1, DENSE, 1.9747, 1122, Accepted
1, DENSE, 2.59256, 1092, Accepted
1, DENSE, 1.83767, 1074, Accepted
1, DENSE, 2.15997, 1237, Accepted
1, DENSE, 1.83717, 1045, Accepted
1, DENSE, 1.96005, 1142, Accepted
1, DENSE, 2.02294, 1171, Accepted
1, DENSE, 2.1152, 1230, Accepted
1, DENSE, 1.9925, 1140, Accepted
1, DENSE, 1.86801, 1099, Accepted
1, DENSE, 1.96677, 1118, Accepted
1, DENSE, 1.96301, 1141, Accepted
1, DENSE, 2.08817, 1212, Accepted
1, DENSE, 1.92573, 1123, Accepted
1, DENSE, 1.83676, 1072, Accepted
2, DENSE, 1.05424, 1044, Accepted
2, DENSE, 0.986353, 1054, Accepted
2, DENSE, 1.14092, 1127, Accepted
2, DENSE, 1.15529, 1059, Accepted
2, DENSE, 1.22716, 1008, Accepted
2, DENSE, 1.0787, 1122, Accepted
2, DENSE, 1.02209, 1092, Accepted
2, DENSE, 0.989762, 1074, Accepted
2, DENSE, 1.12846, 1237, Accepted
2, DENSE, 0.955387, 1045, Accepted
2, DENSE, 1.03783, 1142, Accepted
2, DENSE, 1.07593, 1171, Accepted
2, DENSE, 1.12557, 1230, Accepted
2, DENSE, 1.06743, 1140, Accepted
2, DENSE, 1.04287, 1099, Accepted
2, DENSE, 1.02508, 1118, Accepted
2, DENSE, 1.04639, 1141, Accepted
2, DENSE, 1.11164, 1212, Accepted
2, DENSE, 1.02944, 1123, Accepted
2, DENSE, 0.977998, 1072, Accepted
4, DENSE, 0.614141, 1044, Accepted
4, DENSE, 0.545852, 1054, Accepted
4, DENSE, 0.57124, 1127, Accepted
4, DENSE, 0.544773, 1059, Accepted
4, DENSE, 0.513289, 1008, Accepted
4, DENSE, 0.562797, 1122, Accepted
4, DENSE, 0.561443, 1092, Accepted
4, DENSE, 0.548929, 1074, Accepted
4, DENSE, 0.622563, 1237, Accepted
4, DENSE, 0.527195, 1045, Accepted
4, DENSE, 0.584115, 1142, Accepted
4, DENSE, 0.592491, 1171, Accepted
4, DENSE, 0.622208, 1230, Accepted
4, DENSE, 0.591669, 1140, Accepted
4, DENSE, 0.590665, 1099, Accepted
4, DENSE, 0.565842, 1118, Accepted
4, DENSE, 0.578317, 1141, Accepted
4, DENSE, 0.62322, 1212, Accepted
4, DENSE, 0.570322, 1123, Accepted
4, DENSE, 0.546256, 1072, Accepted
8, DENSE, 0.688886, 1044, Accepted
8, DENSE, 0.555078, 1054, Accepted
8, DENSE, 0.637794, 1127, Accepted
8, DENSE, 0.572059, 1059, Accepted
8, DENSE, 0.762938, 1008, Accepted
8, DENSE, 0.757816, 1122, Accepted
8, DENSE, 0.575662, 1092, Accepted
8, DENSE, 0.555618, 1074, Accepted
8, DENSE, 0.775489, 1237, Accepted
8, DENSE, 0.725122, 1045, Accepted
8, DENSE, 0.596605, 1142, Accepted
8, DENSE, 0.60209, 1171, Accepted
8, DENSE, 0.639318, 1230, Accepted
8, DENSE, 0.572312, 1140, Accepted
8, DENSE, 0.559596, 1099, Accepted
8, DENSE, 0.572593, 1118, Accepted
8, DENSE, 0.639849, 1141, Accepted
8, DENSE, 0.62975, 1212, Accepted
8, DENSE, 0.61425, 1123, Accepted
8, DENSE, 0.616188, 1072, Accepted
1, SPARSE, 0.0972071, 1044, Accepted
1, SPARSE, 0.0905521, 1054, Accepted
1, SPARSE, 0.0854211, 1127, Accepted
1, SPARSE, 0.085654, 1059, Accepted
1, SPARSE, 0.0786881, 1008, Accepted
1, SPARSE, 0.0981891, 1122, Accepted
1, SPARSE, 0.0819311, 1092, Accepted
1, SPARSE, 0.088212, 1074, Accepted
1, SPARSE, 0.09742, 1237, Accepted
1, SPARSE, 0.0823989, 1045, Accepted
1, SPARSE, 0.095674, 1142, Accepted
1, SPARSE, 0.092715, 1171, Accepted
1, SPARSE, 0.0955811, 1230, Accepted
1, SPARSE, 0.089756, 1140, Accepted
1, SPARSE, 0.0871329, 1099, Accepted
1, SPARSE, 0.0836709, 1118, Accepted
1, SPARSE, 0.0933199, 1141, Accepted
1, SPARSE, 0.095695, 1212, Accepted
1, SPARSE, 0.0890629, 1123, Accepted
1, SPARSE, 0.0887809, 1072, Accepted
2, SPARSE, 0.0777318, 1044, Accepted
2, SPARSE, 0.0681062, 1054, Accepted
2, SPARSE, 0.0662382, 1127, Accepted
2, SPARSE, 0.0617938, 1059, Accepted
2, SPARSE, 0.060874, 1008, Accepted
2, SPARSE, 0.066268, 1122, Accepted
2, SPARSE, 0.0622461, 1092, Accepted
2, SPARSE, 0.0639448, 1074, Accepted
2, SPARSE, 0.0708652, 1237, Accepted
2, SPARSE, 0.059983, 1045, Accepted
2, SPARSE, 0.0663309, 1142, Accepted
2, SPARSE, 0.067368, 1171, Accepted
2, SPARSE, 0.06969, 1230, Accepted
2, SPARSE, 0.0646808, 1140, Accepted
2, SPARSE, 0.0621908, 1099, Accepted
2, SPARSE, 0.0668511, 1118, Accepted
2, SPARSE, 0.066364, 1141, Accepted
2, SPARSE, 0.0706389, 1212, Accepted
2, SPARSE, 0.0620961, 1123, Accepted
2, SPARSE, 0.062768, 1072, Accepted
4, SPARSE, 0.0547221, 1044, Accepted
4, SPARSE, 0.0697739, 1054, Accepted
4, SPARSE, 0.054986, 1127, Accepted
4, SPARSE, 0.0512679, 1059, Accepted
4, SPARSE, 0.052923, 1008, Accepted
4, SPARSE, 0.0536659, 1122, Accepted
4, SPARSE, 0.05164, 1092, Accepted
4, SPARSE, 0.0479538, 1074, Accepted
4, SPARSE, 0.055516, 1237, Accepted
4, SPARSE, 0.046298, 1045, Accepted
4, SPARSE, 0.0534289, 1142, Accepted
4, SPARSE, 0.053411, 1171, Accepted
4, SPARSE, 0.0556281, 1230, Accepted
4, SPARSE, 0.050513, 1140, Accepted
4, SPARSE, 0.0507889, 1099, Accepted
4, SPARSE, 0.05338, 1118, Accepted
4, SPARSE, 0.0541861, 1141, Accepted
4, SPARSE, 0.053544, 1212, Accepted
4, SPARSE, 0.0508318, 1123, Accepted
4, SPARSE, 0.048687, 1072, Accepted
8, SPARSE, 0.195985, 1044, Accepted
8, SPARSE, 0.057281, 1054, Accepted
8, SPARSE, 0.131001, 1127, Accepted
8, SPARSE, 0.0597019, 1059, Accepted
8, SPARSE, 0.084552, 1008, Accepted
8, SPARSE, 0.0693388, 1122, Accepted
8, SPARSE, 0.065325, 1092, Accepted
8, SPARSE, 0.068778, 1074, Accepted
8, SPARSE, 0.0624709, 1237, Accepted
8, SPARSE, 0.0625741, 1045, Accepted
8, SPARSE, 0.0575311, 1142, Accepted
8, SPARSE, 0.0622461, 1171, Accepted
8, SPARSE, 0.0686119, 1230, Accepted
8, SPARSE, 0.067359, 1140, Accepted
8, SPARSE, 0.0534039, 1099, Accepted
8, SPARSE, 0.0760798, 1118, Accepted
8, SPARSE, 0.061903, 1141, Accepted
8, SPARSE, 0.078191, 1212, Accepted
8, SPARSE, 0.0646091, 1123, Accepted
8, SPARSE, 0.0655031, 1072, Accepted
